Pre_surn	Pre_fore
Appowell	Rogerus
Apprice	Edward
Apprice	Johannes
Appryce	Philippus
Appulby	Willimus
Aprece	Hugo
Aprice	Hugh
Aprice	Johannes
Aprice	Lodovicus
Aprice	Richard
Apsley	John
Apthorp	East
Apthorp	Frederick
Apthorp	George Frederick
Apthorp	Stephen
Apthorpe	Eash
Apthorpe	East
Apthorpe	Stephen
Aram	Courtney
Aras	Johannis
Arch	Richard
Archar	Robert
Archard	Richardus
Archard Williams	David
Archarde	Johannes
Archbold	
Archbold	Eadwardus
Archbold	Edward
Archbold	not given
Archbolde	Thomas
Archbolde	Willimus
Arche	Ricardus
Arche	Richard
Arche	Richardus
Archeball	Richard
Archebolde	Nicholaus
Archepole	Nicholaus
Archer	Andrew
Archer	benjamin
Archer	Benjaminus
Archer	Edmund
Archer	Edmundus
Archer	Edward James
Archer	Egidii
Archer	Giles
Archer	Gulielmus
Archer	Henrici
Archer	Henricus
Archer	Henry
Archer	Isaaci
Archer	Jacobus
Archer	James
Archer	Jeffrey
Archer	Johannis
Archer	John
Archer	Joihannes
Archer	Joseph
Archer	Miles
Archer	Richard
Archer	Richi
Archer	Robertus
Archer	Simon
Archer	Simonis
Archer	Thomas
Archer	Timothei
Archer	Unknown
Archer	Willelmus
Archley	Thomas
Arclier	Gulielmi
Arden	Crewe
Arden	Francis Edward
Arden	George
Arden	John
Arden	Leonardus
Arden	Thomas
Arden	Thome
Arden	William
Arden	Willimus
Ardern	Thomas
Ardern	William Henry
Arderne	Jacobus
Arderne	James
Arding	Isaac Richard
Ardrey	Johannes
Ardrey	Thomas
Ardrey	William
Argall	Johannes
Argall	Richardi
Argall	Willimus
Argentine	Richardus
Argentyne	Richardus
Argles	John Archambo
Argoll	
Argoll	Richardus
Argor	Richardus
Aris	Eldrigius
Aris	Roland
Aris	Rolandus
Aris	William
Aris	Willielmus
Aris	Willimus
Arkesden	Thomas
Arlich	Alexandrus
Armerar	Johannes
Armeror	Johannes
Armestead	Michael
Armested	Willimus
Armestrong	Gabrielus
Armestrong	Joannes
Armestronge	Henrici
Armestronge	Henricus
Armestronge	Henry
Armestronge	Hugo
Armetriding	James
Armetriding	John
Armetriding	Thomas
Armetridinge	Johannes
Armett	William
Armistead	Anthony
