Surname	Forename
Allen	Radulphus
Allen	Ralph
Allen	Ricardus
Allen	Richard
Allen	Richardus
Allen	Robert
Allen	Robert Pinhorn
Allen	Robertus
Allen	Rowlandus
Allen	Samuel
Allen	Stephen
Allen	Symon
Allen	Thomas
Allen	Thomas Dawson
Allen	Thomas Lingen
Allen	Timothy
Allen	unknown
Allen	Walter
Allen	Wilhelmus
Allen	William
Allen	William Birkett
Allen	William Jefferys
Allen	Williams
Allen	Willimus
Allenby	John
Allens	Hugh
Allenson	Edward
Allenson	James
Allenson	Robert
Allenson	Willimus
Allerton	Edwardus
Allerton	Johannes
Allerton	William
Alleson	William
Alleston	William
Allestree	Charles
Allestree	Richardus
Allestree	Thomas
Allestree	William
Allett	Richard
Allexander	Franciscus
Alley	Roger
Alley	William
Alleyn	Abraham
Alleyn	Charles
Alleyn	Edward
Alleyn	Henricus
Alleyn	Mathias
Alleyn	Richard
Alleyne	Johannes
Alleyne	John
Alleyne	John Forster
Alleyne	Richard
Alleyne	Richardus
Alleyne	Thomas
Allfield	William
Allford	Franciscus
Allfounder	unknown
Allfree	Edward Mott
Allfree	Frederick Charles
Allgood	Bartholomew
Allgood	James
Allibond	Johannes
Allibond	Petrus
Allies	Thomas
Allin	Ashurst
Allin	Peter
Allin	Robertus
Allingham	Peter
Allington	Charles
Allington	John
Allington	unknown
Allins	not given
Allinson	Anthony
Allinson	Edward
Allinson	John
Allis	Charles
Allis	Robert
Allisibrooke	Thomas
Allison	Johannes
Allison	John
Allison	Matthew
Allison	Peter
Allison	Richard
Allison	Richardus
Allison	William
Alliston	Edwardus
Allix	Peter
Allix	Richard Wager
Allmark	Ricardus
Allmett	Christopherus
Allmont	Danielis
Allott	Francis
Allott	John
Alloughby	Johannes
Alloway	Walter
Allport	Josiah
Allsapp	William
Allshier	John
Allsop	Charles
Allsop	Francis
Allsop	Georgius
Allsop	John
Allsopp	Christoforus
Allsopp	John
Allsopp	Thomas
Allsopp or Alsop	William Browne
Allsoppe	Humfrey
Allsoppe	Richard
Allsoppe	Robert
Allway	Samuel
Allwood	Johannes
Allwood	John
Allwood	Philip
Allwood	Robert
Allworth	Richard
Allybone	Robertus
Allyn	
Allyn	David
Allyn	James
Allyn	Johannes
Allyn	Richard
Allyn	unknown
Allyne	Henry
Allyne	Thomas
Allyson	Richard
Allyson	Richardus
Allyson	William
Almack	Henry
Alman	William
Almanson	Wilhelmus
Almon	Thomas
Almond	Edward
Almond	George
Almond	John
Almond	Reuben
Almond	Richard
Almond	Theophilus
Almonde	William
Almont	Bartholomew
Almont	blank
Almont	Robertus
Almont	Roger
Almsebrooke	Thomas
Alner	William
Alnewicke	Amon
Alnwick	Arthur
Alon	Johannes
Alon	Thomas
Alowis	Richard
Alpe	Philip
Alphen	Edmundus
Alpin	Thomas
Alpleford	Daniel
Alport	Edwardus
Alport	William
Alporte	Richard
Alred	Edmundus
Alred	James
Alred	Jeremias
Alrington	Robertus
Alsager	Samuel
Alsby	John
Alscare	Hughe
Alson	Nathaniel
Alsood	Carolus
Alsop	Anthony
Alsop	Francis
Alsop	Henry
Alsop	John
Alsop	Josias
Alsop	Richard
Alsop	Samuel
Alsop	Thomas
Alsop	William
Alsope	William
Alsopp	Francis
Alsopp	Johannes
Alsopp	John
Alsopp	Nicholas
Alsopp	William
Alsoppe	John
Alsoppe	William
Alsteede	Edward
Alston	Charles William Horace
Alston	Edward
Alston	John
Alston	Lambert
Alston	Philip
Alston	Samuel
Alston	Vere John
Alston	William
Alstone	Richardus
Alsworth	Richardo
Alt	Jacobus
Alt	Just
Altham	Roger
Altham	Thomas
Alton	George
Alty	John
Alunson	James
Alvered	William
Alves	Robert
Alvey	Arthurus
Alvey	Richard
Alvey	Yeldardus
Alvis	Andrew
Alvis	unknown
Alvord	Richardus
Alwal	Johannes
Alwin	Robertus
Alworth	Giles
Alyn	Johannes
Alynge	William
Alynne	Thomas
Alyson	Richardus
Amadas	Richard
Aman	John
Aman	Richardus
Amberye	Edmundus
Ambies	Elizeus
Ambler	George
Ambler	Johannes
Ambrose	Edward
Ambrose	Ellis
Ambrose	Henry
Ambrose	Isaac
Ambrose	Johannes
Ambrose	John
Ambrose	Joshua
Ambrose	Richard
Ambrose	Richardus
Ambrose	unknown
Ambrose	William
Amcot	John
Amell	James
Amerie	Anthonius
Amerie	Thomas
