clerSurn	clerFore
Adlard	Samuel
Adley	William
Adlington	Gilbert
Adlington	Thomas
Adms	Richard
Adnams	James
Adney	George
Adney	Georgius
Adney	Thomas
Adnutt	Robert Thomas
Adnutt	Thomas
Adowe	Johannes
Adrian	Bartholomew
Adrian	Richard
Adrian	Richard
Adridge	Robertus
Adshead	Jeremiah
Adshead	Jeremias
Adson	Nicholaus
Ady	Nicholas
Ady	Thomas
Adye	Charles
Adye	John
Adye	Nicholas
Adye	Nicholaus
Adye	Nicolas
Adye	Nicolaus
Adye	Robert
Adye	Robertus
Adyes	Wyllyam
Adyn	Constantine
Adyn	Constantinus
Adyn	Robert
Adyn	Robertus
Adyson	Thomas
Aelmer	Edwardus
AElmer	George
Aelmer	Johannes
Aelmer	John
Aelmer	Theophilus
Aelmir	George
Aenmer	Michaell
Aeres	Joseph
Aeres	Josephus
Aerten	Edvardus
Aerton	Edvardus
Aerton	Edw
Aerton	Edwardum
Aerton	Edwardus
Aerton	not given
Aery	Henry
Aeslon	Carolus
Aessop	Constantius
Aeton	Thomas
Aeworth	Tho
Aeylmer	Theophilus
Afflatt	Matheus
Affleck	Gilbert
Affleck	James
Affleck	James Danby
Affleck	John
Affleck	Robert
Affleck	William
Affordby	Carolus
Affowle	William
Afleck	James
Afordby	Carolus
Afowle	Harry
Afowlle	Henry
After	Johannes
After	John
Agar	Benjamin
Agar	Charles
Agar	Gulielmus
Agar	Henry
Agar	James
Agar	Johannes
Agar	John Ellis
Agar	Laurence
Agar	Moses
Agar	Seth
Agar	Sethi
Agar	Thomas
Agar	William
Agard	Simon
Agas	Antonius
Agas	Benjamin
Agas	Benjaminus
Agas	Daniel
Agas	danielis
Agas	Edward
Agas	Eligius
Agas	Eliqium
Agas	Giles
Agas	Robertus
Agas	Thomas
Agashan	Alexander
Agasman	Alexander
Agassiz	Robert
Agate	Gulielmus
Agate	Johannes
Agate	William
Agborough	Edward
Agborow	Edvardus
Agborow	Edward
Agden	Amos
Agecombe	William
Ager	John
Ager	Thomas
Ager	William
Ager alias Awcher	Clement
Ager alias Awtcher	Clement
Aggas	Benjaminus
Aggas	Daniel
Aggas	Edvardus
Agge-Stock	John
Aghton	Robertus
Agier	Johannes
Aglandin	Henry
Agley	blank
Aglionbie	Johannes
Aglionby	
Aglionby	George
Aglionby	Georgius
Aglionby	Henricus
Aglionby	Johannes
Aglionby	John
Aglionby	Thomas
Aglionbye	Edvardus
Aglionbye	George
Aglionbye	Johannes
Aglionbye	John
Aglionbye	Thomas
Aglonby	Thomas
Aglyonby	Georgius
Aglyonby	Henrici
Aglyonbye	Georgius
Agnasholde	Richardus
Agnel	Roman
Agnett	Romanus
Agnew	Andreas
Agnew	Andrew
Agnew	John
Agus	Edwardus
Agustinnse	Wilhelmus
Agutter	William
Ahier	John Thomas
Aiche	Gorge
Aickrigg	Willimus
Aickton	Johannes
Aicrigge	Johannes
Aicrigge	Johes
Aiden	Francis Edward
Aiery	Thomas
Aikridge	John
Aikrigg	Joannes
Ailemer	Arthur
Ailemer	Edwardus
Ailes	Brianus
Ailesbury	Gulielmus
Ailesbury	Thomas
Aileworth	Hugo
Aileworth	Humphrey
Aileworth	Not given
Aileworth	William
Ailiff	Robert
Ailiffe	Guilielmus
Ailiffe	Josephus
Ailmer	Arthur
Ailmer	Edward
Ailmer	Jo:
Ailmer	Johannes
Ailmer	Johannis
Ailmer	Johes
Ailmer	Theoophilus
Ailmer	Theophili
Ailmer	Theophilus
Ailmer	Thomas
Ailmer	Willhelmus
Ailmer	William
Ailway	Hugh
Aimard	Daniel
Aime	Thomas
Ainesworth	Robert
Ainge	Joseph
Ainge	Joseph
Ainge	Josephus
Ainge	Samuel
Ainger	Thomas
Ainger	William
Ainscombe	Thomas
Ainscough	Radleius
Ainscough	Radley
Ainscough	Thomas
Ainslei	Gilbert
Ainslie	George
Ainslie	Gilbert
Ainslie	Henry
Ainslie	Henry Ford
Ainslie	William
Ainsworth	Edward
Ainsworth	George
Ainsworth	Guilelmus
Ainsworth	Guilielmus
Ainsworth	Gulielmus
Ainsworth	Henry
Ainsworth	Johannes
Ainsworth	Michael
Ainsworth	Samuel
Ainsworth	Samuelis
Ainsworth	Thomas
Ainsworth	unknown
Ainsworth	Willmus
Ainy	John
Airay	Adam
Airay	Adamus
Airay	Christoph:
Airay	Christopherus
Airay	Christophorus
Airay	Giulielmus
Airay	Guilielmus
Airay	Guliellmus
Airay	Gulielmus
Airay	Henricus
Airay	Henry
Airay	Johannes
Airay	Johes
Airay	Johnes
Airay	Ricardus
Airay	William
Airay	Willimus
Airay	Xopherus
Airay	Xpoferus
Airaye	Adamus
Aird	Johannes
Airde	Johannes
Aire	Johannes
Aires	Joseph
Aires	Petrus
Airey	Adam
Airey	Henry Holme
Airey	Johes
Airey	John
Airey	Joseph
Airey	Philip
Airey	Richard
Airey	Thomas
Airey	William
Airey	Willimus
Airson	blank
Airson	J
Airson	John
Airson	Thomas
Airson	William
Airton	Edvardus
Airton	Edward
Airton	Edwardus
Airton	Robertus
Airton	Thomas
Airy	William
Airy	Willielmus
Airy	Willimus
Airye	Richard
Aiscough	Edward
Aiscough	Henr
Aiscough	Henry
Aiscoughe	Henricus
Aiscoughe	Henry
Aisgill	Henry
Aisgill	Joshua
Aisgill	Josua
Aisgill	Josue
Aish	Faithfull
Aish	Fidelis
Aish	Robertus
Aish	Wilhelmus
Aish	William
Aish	Wm.
Aishe	Richardus
Aishe	Robert
Aishford	Daniel
Aishford	Edmund
Aishford	Edmundus
Aishford	Rogerus
Aishley	Thomas
Aishton	Peter
Aishton	Randoll
Aishton	Willimus
Aishweek	Gulielmus
Aishwood	Bartholomew
Aiskett	Johannes
Aiskew	John
Aiskwith	Georgius
Aislabie	Gulielmus
Aislabie	William
Aislabie	William James
Aislabie	William John
Aislaby	Gulielmus
Aislaby	William James
Aisley	blank
Aisley	Johannes
Aisley	John
Aisley	Thomas
Aisling	Thomas
Aitchison	David
Aitken	Robert
Aitkens	RE
Aitkens	Robert Ellis
Aitkins	Robert Ellis
Aitone	George
Aked	William
Akehurst	Alexander
Akehurst	Pell
Akenzie	Aneas
Akenzie	illegible
Akerod	Anthonius
Akerod	Anthony
Akeroide	John
Akeroyde	Thomas
Akers	Isaac Dupuy
Akers	Ricardus
Aketon	Johannes
Akinson	John Breeks
Akoons	Wilhelmus
Akroyd	Jonathan
Akyns	Henry
Alabaster	William
Alabaster	Willimus
Alabastre	Guil
Alablaster	William
Alablaster	Willimus
Alaige	Chailes
Alama	Henry
Alambrige	Nicholaus
Alambryge	Nicholaus
Alanbie	Christopher
Alanby	Christopher
Alanby	Robertus
Alanby	Thomas
Alanbye	Christopher
Alanbye	Thomas
Alanson	Dennis
Alanson	Dionisius
Alanson	Dionysius
Alanson	Edvardi
Alanson	Edvardus
Alanson	Gilbert
Alanson	Josephus
Alanson	Richard
Alanson	Robert
Alanson	Robertus
Alard	Johnes
Alardes	David
Alasden	William
Alban	Thomas
Albart	Johannes
Alberry	Johannes
Alberry	John
Albert	Georgius
Albert	Johes
Albert	Josephus
Albert	Nathanael
Albert	Nathaniel
Albert	Thomas
Albery	Johannes
Albery	John
Albin	Christopher
Albin	Christopherus
Albin	Christophorus
Albin	unknown
Albinus	Nicholaus
Albon	John
Albord	Thomas
Alborne	Thomas
Albote	[blank]
Albourne	Thomas
Albright	Gulielmus
Albright	Rob'tus
Albright	Robertus
Albright	William
Albright	Willielmus
Albrighte	Johannes
Albrighte	Wilhelmus
Albrighte	Willmus
Albryght	Wilhelmus
Alburne	Thomas
Alby	Thomas
Albyn	Johannes
Alcap	Johannes
Alcetur	John
Alchen	Johannes
Alchin	Eadwardus
Alchin	George
Alchin	Johannes
Alchin	John
Alchon	Edwardus
Alchorn	Carolus
Alchorne	Carolus
Alchorne	Charles
Alchorne	Guilielmus
Alchorne	Gulielmi
Alchorne	Gulielmus
Alchorne	Not given
Alchorne	Wilhelmus
Alchorne	William
Alchorne	Willimi
Alcock	Charles
Alcock	Christopher
Alcock	Edwin
Alcock	J  S
Alcock	Joh
Alcock	Johanes
Alcock	Johannes
Alcock	Johanni
Alcock	John
Alcock	Laurence
Alcock	Laurentius
Alcock	Laurentus
Alcock	Lawrentius
Alcock	Lewis
Alcock	Peter
Alcock	Petri
Alcock	Petrus
Alcock	Richard
Alcock	Richardus
Alcock	Robert
Alcock	Thomam
Alcock	Thomas
Alcock	Thurstan
Alcock	Wiliam
Alcock	William
Alcock	Willimus
Alcocke	Anthonius
Alcocke	Gilbert
Alcocke	Henry
