Surname	Forenames
Staples	Edward
Stearne	John
Steere	John
Steere	William
Sterne	John
Sterne	Richard
Stewart	Robert
Stewart	William
Still	John
Stillingfleet	Edward
Stock	Joseph
Stokesley	John
Stone	George
Stopford	Hon. Thomas
Stopford	James
Story	Joseph
Strachan	David
Stratford	Nicholas
Stuart	Hon. William
Stuart	William
Sumner	Charles Richard
Sumner	John Bird
Sydall	Elias
Sydserf	Thomas
Sylvester	Robert
Synge	Edward
Synge	George
Synge	Nicholas
Talbot	William
Tanner	John
Tanner	Thomas
Taylor	Jeremy
Taylor	John
Tenison	Thomas
Tennison	Edward
Tennison	Richard
Terrick	Richard
Thirlby	Thomas
Thomas	John
Thomas	Lewis
Thomas	William
Thompson	Giles
Thornborough	John
Thornburgh	John
Thornden	Richard
Thurlow	Thomas
Tillotson	John
Tilson	Henry
Tirrey	Dominic
Todd	John
Tonory	John
Toulson	Robert
Towers	John
Townson	Robert
Traill	James
Travers	Robert
Trelawney	Jonathan
Trench	Hon. Power Le Poer
Trevor	Richard
Trimnell	Charles
Tunstall	Cuthbert
Turberville	James
Turner	Francis
Twysden	Philip
Tyler	John
Underhill	John
Ussher	Henry
Ussher	James
Ussher	Robert
Vacante	Sede
Van Mildert	William
Vaughan	Richard
Verschoyle	James
Vesey	John
Vesey	Sir Thomas
Veysey	John
Vigors	Bartholomew
Waddington	Edward
Wake	William
Wakeman	John
Walkington	Edward
Wall	Peter
Wallace	Robert
Walsh	Nicholas
Walsh	Patrick
Walsh	William
Walton	Brian
Warburton	Charles Mongan
Warburton	William
Ward	Michael
Ward	Seth
Ward	William
Warner	John
Warren	John
Warton	Robert
Watson	Anthony
Watson	John
Watson	Richard
Watson	Thomas
Waugh	John
Weatherhead	Thomas
Webb	George
Wedderburn	James
Wemyss	Henry
Westfaling	Herbert
Westfield	Thomas
Weston	Stephen
Wetenhall	Edward
Wharton	Robert
Whateley	Richard
Wheeler	Jonas
Whitcombe	John
White	Francis
White	John
White	Thomas
Whitford	Walter
Whitgift	John
Wiche	John
Wickham	William
Wilcocks	Joseph
Wild	George
Wilkins	John
Willes	Edward
Williams	Griffith
Williams	John
Willis	Richard
Wilson	Christopher
Wilson	Nathaniel
Wilson	Thomas
Winniffe	Thomas
Wiseman	Capel
Wishart	George
Wolley	Edward
Womock	Lawrence
Wood	Andrew
Wood	Thomas
Woodward	Richard
Woolton	John
