Surname	Forename
Andrews	Nicholas
Andrews	Randall
Andrews	Richard
Andrews	Richard Townsend
Andrews	Robert
Andrews	Robert
Andrews	Robert Gordon
Andrews	Thomas
Andrews	Thomas
Andrews	Thomas
Andrews	Thomas
Andrews	Thomas
Andrews	Thomas
Andrews	Townsend
Andrews	Townsend
Andrews	unknown
Andrews	William
Andrews	William
Andrews	William
Andrews	William
Andros	John
Androw	John
Androw	Richardus
Androwe	Edras
Androwes	Christoferus
Androwes	Franciscus
Andrue	John
Andsley	Henry
Aneon	John
Aneon	William
Anesley	Radulphus
Anesley	Ralph
Angel	Johannes
Angell	Johannes
Angier	Francis
Angier	John
Angood	Thomas
Angrom	Marmaduke
Anguish	George
Anguish	Ricardus
Anguish	Thomas
Anker	Thomas
Anlezark	Robert
Annable	John
Annand	Adam
Anne	John
Anne	Michaell
Anne	Thomas
Annesley	Arthur
Annesley	Arthur
Annesley	Charles
Annesley	Francis
Annesley	Francis
Annesley	Francis
Annesley	Martin
Annesley	Radulphus
Annesley	Richard
Anning	William
Annis	Richard
Annonde	Gilbert
Anns	Johannes
Annsell	Matheus
Ansall	Gulielmus
Anscough	Radleius
Ansdell	James
Ansell	Reginald
Ansell	Thomas
Ansell	Thomas
Ansey	Thomas
Anslie	Michael
Anson	Charles
Anson	Frederick
Anson	Frederick
Anson	Henry
Anson	John
Anson	Roger
Anstey	Charles Alleyne
Anstey	Christopher
Anstey	Christopher
Anstey	James
Anstey	lost
Anstey	Michaelis
Anstey	Robert
Ansty	Thomas
Ansty	Thomas
Ansty	Thomas
Anstye	Peter
Antham	Richardo
Anthony	George
Anthony	John
Anthony	Robertus
Anthony	unknown
Anthony	William
Anthony	William
Anthonye	Johannes
Anthonye	John
Anthrobus	John
Anthrobus	Thomas
Anton	Robert
Anton	Robert
Antram	John
Antram	John
Antram	Richard
Antrobus	George
Antrobus	George
Antrobus	Henry
Antrobus	Isaac
Antrobus	Johannes
Antrobus	Radulphus
Antrobus	Ralph
Antrobus	Randle
Antrobus	Randle
Antrobus	Robert
Antrobus	Robertus
Antrobus	William
Antrobus	William
Antrobus	Willimus
Anwill	Elizaeus
Anwill	Johannes
Anwill	William
Anwyl	William
Anwyl	William
Anyan	Richardus
Anyan	Thomas
Anyntyne	Wilhelmus
Anyon	John
Anyon	John
Ap David	Edward
ap David	Humphrey
ap David	Richard
ap David ap Griffith	William
ap David ap Rice	Hugh
ap David ap Rice	John
ap Edward	David
Ap Griffithe	Philip
Ap Griffiths	David
Ap Harye	John
ap Howell	Johannes
ap Howell	Richard
ap Hugh	David
ap Hugh	Owen
ap Hugh	Willimus
ap Jevan [Evans?]	Geoffrey
ap Jevan [Evans?]	Hugh
ap John	David
ap John	Griffith
ap John	Robert
ap John	Robert
ap John	Robert
ap John ap Robert	David
ap Lewes	Richard
ap Llen	David
ap Llin	David
ap Madoke	Ellis
Ap Mered	Robert
ap Mered.	Thomas
ap Price	Walterus
ap Rees	Thomas
ap Res	Johannes
ap Rethorgh	Thomas
ap Rice	David
ap Rice	John
ap Rice	John
ap Rice	Lewis
ap Rice	Lewis
ap Rice	Robert
ap Rice	Robert
ap Richard	David
ap Richard	Johannes
ap Richard	Morgan
ap Richarde	Humfridus
ap Richarde	Lodovicus
ap Richards	Johannes
ap Robert	Johannes
ap Robert	Philippus
ap Robert	Rice
ap Robert	Robert
ap Robert	William
ap Roberts	Tudder
ap Ryce	David
ap Rychard	John
ap Rycharde	William
ap Thomas	Elizeus
ap Thomas	Evan
ap Thomas	John
ap Thomas	Philip
ap Thomas	Phillip
ap William	Roger
ap Wynne	Robert
Aparry	James
Aphoell	Rogerus
Aphughe	Ovinus
Apilbie	Johannes
Apleford	Daniel
Aplegarth	Thomas
Apleton	Edmund
Apleton	Johannes
Apowell	Rogerus
Apperley	 John
Apperley	Anthony
Applebee	George
Applebee	John
Applebee	John
Applebie	Ambrose
Appleby	John
Appleford	Robert
Appleton	James
Appleton	John
Appleton	Robert
Appleyard	John
Applin	Richard
Applin	Rici
Applin	William
Apprice	Hugh
Apprise	Lodowicus
Appryce	Philippus
Appulton	John
Appuneride	David
Aprice	Cadwallader
Aprobart	Johannes
Apryce	Lodovicus
Apsley	John
Apsley	William
Apthorp	Frederick
Apthorp	George Frederick
Apthorp	Stephen
Apthorp	William Hutchinson
Apulgarth	Rogerus
Archar	Johannes
Archarde	Johannes
Archbold	Edward
Archbold	William
Archdale	George
Archebolde	Nicholaus
Archebolde	William
Archer	Abraham
Archer	Andrew
Archer	Benjamin
Archer	Benjamin
Archer	blank
Archer	Cristoferus
Archer	Edmund
Archer	Edward
Archer	Edward
Archer	George
Archer	Guilielmus
Archer	Gulielmus
Archer	Henry
Archer	Henry
Archer	Henry
Archer	Henry
Archer	Isaac
Archer	Jacobo
Archer	Johannes
Archer	Johannes
Archer	Johannes
Archer	John
Archer	Richard
Archer	Richardus
Archer	Simon
Archer	Thomas
Archer	Thomas
Archer	Thomas
Archer	unknown
Archer	William
Arden	Francis E
Arden	George
Arden	Henry
Arden	Johannes
Arden	John
Arden	Leonardus
Arden	Spencer
Arden	Thomas
Arden	Thomas Edward
Ardern	Gabriel
Ardern	Thomas
Arderne	Jacobus
Arderne	James
Arderne	Thomas
Arderne	Thomas
Arderne	William Henry
Arding	Isaac Richard
Argall	John
Argar	Richardus
Argill	Richard
Argles	John Archambo
Argoll	
Argoll	Richus
Aris	Eldridge
Aris	Johannes
Aris	William
Aris	William
Arkenden	Thomas
Arkwright	Henry
Arkwright	Joseph
Arlett	Henry
Arley	John
Arlidge	William
Arlington	Henry
Armand	James
Armand	James
Armerer	Johannes
Armestead	Michael
Armested	Richard
