Pre_surn	Pre_fore
Alread	Willimus
Alred	Edmundus
Alredd	Christopherus
Alridge	Reginaldus
Alridge	Reginaldus
Alrington	Robertus
Alsager	Samuel
Alsop	Antonius
Alsop	Georgius
Alsop	Josiae
Alsop	Josiae
Alsop	Josias
Alsop	Josias
Alsop	Nathaniel
Alsop	Nathanielis
Alsop	Thomas
Alsop	William
Alsop	William
Alsopp	Georgii
Alsopp	Johannes
Alsopp	Vincent
Alston	
Alston	Carolus
Alston	Carolus
Alston	Carolus
Alston	Carolus
Alston	Edvardi
Alston	Edvardi
Alston	Edward
Alston	Philip
Alston	Philip
Alston	Samuel
Alston	Samuel
Alston	Samuel
Alston	Samuel
Alston	Thomas
Alston	Vere John
Alston	Vere John
Alston	William
Alston	William
Alston	William
Alstone	Samuel
Alstone	Samuel
Alt	Just
Alt	Just
Altham	James
Altham	James
Altham	James
Altham	Michael
Altham	Michaelis
Altham	Michaelis
Altham	Roge
Altham	Roge
Altham	Roger
Altham	Roger
Altham	Rogeri
Altham	Rogeri
Altham	Rogeri
Altham	Rogeri
Altham	Rogeri
Altham	Rogerus
Altham	Rogerus
Altham	Rogerus
Altham	Thomas
Altham	Thomas
Alton	George
Alty	John
Alvey	Richard
Alvey	Richard
Alvey	Richard
Alvey	Richard
Alvey	Richard
Alvey	Richard
Alvey	Richard
Alvey	Yeldredi
Alvis	Andrew
Alvis	Andrew
Alvis	Andrew
Alwell	Thome
Alwin	Robert
Alwood	Johannes
Alwyn	Ricardi
Alynge	William
Alyngton	Robertus
Alynn	Edmundus
Alyson	unknown
Alyson	Willelmi
Alzak	Gulielmus
Ambler	Brianus
Ambler	Brianus
Ambler	George
Ambler	Johannes
Ambler	Johannis
Ambros	Elizei
Ambrose	Daniel
Ambrose	Elisha
Ambrose	Elizeus
Ambrose	Henricus
Ambrose	Henricus
Ambrose	Isaac
Ambrose	not given
Ambrose	not given
Ambrose	Richard
Ambrose	Richardus
Amburst	George
Amedley	James
Amerie	Anthonius
Ames	Charles
Ames	Charles
Ames	Charles
Ames	Charles
Ames	Charles
Ames	Petrus
Ames	Richard
Ames	Richard
Ames	Thomas
Ames	unknown
Ames	William
Ames	William
Amesley	Francis
Amherst	Galfridus
Amherst	Galfridus
Amhurst	Galfridus
Amhurst	Galfridus
Amiand	Daniel
Amiand	Daniel
Amiand	Daniel
Amis	Charles
Amler	Thomas
Ammyand	Thomas
Amney	Daavid Rodney
Amphlett	Johannes
Amphlett	John
Amphlett	John
Amphlett	John
Amphlett	Joseph
Amphlett	Joseph
Amphlett	Joseph
Amphlett	Martin
Amphlett	Richard Holmden
Ampleforth	William
Amy	Georgius
Amy	Georgius
Amy	John
Amyand	Thomas
Amyands	Thomas
Amyas	Francisci
Amyas	Johannis
Amyas	John
Amyas	Thomae
Amyas	Thomae
Amyce	Georgius
Amye	Henry
Amyes	Richard
Anby	Johannis
Ancell	James
Ancketill	Henry
Ancketyll	Edwardus
Ancketyll	Edwardus
Anckletill	Edwardus
Anderdone	Johannes
Anderson	
Anderson	Alexandri
Anderson	Anthony Tolhurst
Anderson	Benjamin
Anderson	Benjamin
Anderson	Benjamin
Anderson	Charles John
Anderson	Charles John
Anderson	Daniel
Anderson	Edward
Anderson	Edward
Anderson	Edward
Anderson	George
Anderson	George William
Anderson	George William
Anderson	Georgius
Anderson	Guilellmus
Anderson	Guilielmus
Anderson	Joannis
Anderson	Johannes
Anderson	Johannis
Anderson	Nathaniel
Anderson	Nicholaus
Anderson	Robertus
Anderson	Robertus
Anderson	Robertus
Anderson	Thomas
Anderson	Willi'mus
Anderson	William
Anderson	William
