Element
(Blumholz)
(Commer) Francesco
Almenräder (Ch.)
Almenräder [C.]
Almenraeder (Ch.)
Alnaes, Eyvind
Alneider
Aloe, L d’.
Aloé, L. d’
Alois, Vladislas
Aloisio, C. de
Aloiz, L.
Aloïz, Ladislas
Along, Giulio
Alonso Fr.
Alonso, Fr.
Alonso, Franç.
Aloys Strebel
Alpheraky, A.
Alpheraky, A.N.
Alphons Czibulka
Alquen (F.M. d’)
Alquen, J.B.C. d’
Alquen, J.P.C. de
Alquen, J.P.C. d’
Alred (A.J.)
Alsleben (J.)
Alsleben, J.
Alsleben, Jul.
Alt, J.W.
Alt, Max
Altavila (Fr.)
Altbauer, A.
Altbauer, August
Altdörfer, C.
Altdörfer, Chr.
Altenburg, C.
Altenburg, M.
Altendorf, Ewald
Altendorff, Hans
Alter, O.
Altermann, E.J.
Altès (Henri)
Altès, Ernest
Althans, Max
Althaus, B.
Althaus, Basil.
Altmann (L.)
Altmann, Ant.
Altmann, Anton
Altmann, Arthur
Altmann, Chr.
Altmann, Franz
Altmann, Frz.
Altmann, Gustav
Altmann, L.
Altmann, Paul
Altmann, W.
Altschul
Altschul (Jos.)
Altschul, Jos.
Altschul, R.
Altschul, Rezsö
Altschul, Richard.
Altschul, Rodolphe
Alvarez, A.
Alvarez, Juan
Alvars (Parish)
Alvars-Parish
Alvensleben
Alvensleben (C. v.)
Alvensleben (G. v.)
Alvensleben (G.v.)
Alvensleben, R. v.
Alvensleben. Osc. d’
Alwens, Charles
Aly-Azim
Alzedo, J.B.
Amadé, August
Amadé, August.
Amadée, K.
Amadei
Amadei (Albert. Graf)
Amadei, Albert
Amadei, Albert Graf
Amadey, A.
Amado (J.)
Amado, J.
Amador, Ventura
Amani, N.
Amann, Josefine
Amarillo
Amarillo (N.)
Amat, L
Amat, L.
Amatucci, Paolo
Amberg, A.
Amberg, Ad.
Amberg, H.
Amberg, J.
Ambr. Thomas
Ambros (A.W.)
Ambros (August Wilh.)
Ambros, A.W.
Ambros, Aug. W.
Ambros, Aug. Wilh.
Ambros, Gustav
Ambros, M. de
Ambrosch
Ambrosch, A.
