Pat_surn	Pat_fore
Alderson	Joseph
Alderson	Joseph
Alderson	Joseph
Alderson	Joseph
Alderson	Joseph
Alderson	Joseph
Alderson	Joseph
Alderson	Joseph
Alderson	Joseph
Alderson	Robert Jervis Coke
Alderson	Robert Jervis Coke
Alderson	Thomas
Alderson	William
Alderson	William
Alderson	William
Alderson	William
Alderson	William
Aldham	John
Aldhouse	Saram
Aldred	Edwardus
Aldred	Johannes
Aldred	Johannes
Aldrich	Henricum
Aldrich	Henricum
Aldrich	Mary
Aldrich	Mary
Aldrich	Mary
Aldrich	William
aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William
Aldrich	William Wogan
Aldrid	Johannem
Aldridge	Elizabetha
Aldridge	Richard
Aldridge	Richard
Aldridge	Richard
Aldridge	Richard
Aldridge	Thomas
Aldworth	Richard
Aldworth	Robertus
Aldworth	Thomas
Alefounder	Robertus
Alen	Francis
Alen	Johannis
Alen	Johannis
Alen	Johannis
Alen	Ricardum
Alen	Ricardum
Alexander	Edvardus
Alexander	Edward
Alexander	Edward
Alexander	Johannes
Alexander	John
Alexander	John
Alexander	John
Alexander	Robert
Alexander	Thomae
Alexander alias Barber	Johannes
Aleyn	Arabella
Aleyn	Arabella
Aleyn	Edwardus
Aleyn	Edwardus
Aleyn	Egidii
Aleyn	John
Aleyne	Christopherus
Alford	Edwardus
Alford	Edwardus
Alford	Gregor
Alford	Gregorius
Alford	Henry the elder
Alford	John
Alford	Robertus
Alford	Thomas
Alford	Thomas
Alford	Thomas
Alford	William
Alford Free Grammar School	
Alford Grammar School	
Alforde	Johannes
Alforde	Rogerus
Alfray	Thomas
Alfraye	Thomas
Alfrey	Thomas
Alfrey	Thomas
Alfrey	Thomas
Alfton	John
Algar	Johannes
Algood	Lancelot
Algood	Thomas
Alicocke	Henry
Alington	Diana
Alington	Egidii
Alington	Egidii
Alington	Frances
Alington	Frances
Alington	Frances
Alington	Frances
Alington	Frances
Alington	Gulielmi
Alington	Gulielmum
Alington	Gulielmum
Alington	Gulielmus
Alington	Gulielmus
Alington	Gulielmus
Alington	Hildebrand
Alington	Hildebrandi
Alington	Marmaducus
Alington	Marmaduke
Alington	Marmaduke
Alington	Marmaduke
Alington	Wilielmum
Alisbury	Thomas
Alison	Archibald
Alison	Archibald
Aliss	John
Aliston	Gervasius
All Saints, Churchwardens and Vestrymen	
All Soul's College, Oxford, Warden	
All Souls	
All Souls	
All Souls	
All Souls	
All Souls	
All Souls	
All Souls	
All Souls	
All Souls	
All Souls Coll Oxford	
All Souls Coll., Oxford, Warden & College	
All Souls College Oxford	
All Souls College Oxford	
All Souls College Oxford	
All Souls College Oxford, Warden and Fel	
All Souls College Oxford, Warden and Fellows	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford	
All Souls College, Oxford, Fellows of	
All Souls Oxford	
All Souls Oxford, Warden and College	
All Souls Oxford, Warden and College	
All Souls' College, Kent	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford	
All Souls' College, Oxford, Warden and m	
All Souls' Oxford, Warden and Fellows	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford	
All Souls, Oxford University	
All Souls, Oxford, Warden & College	
All Souls, Oxford, Warden & College	
Allanson	Charles
Allanson	Charles
Allanson	Elizabeth
Allanson	George
Allanson	George
Allanson	George
Allanson	George
Allanson	Thomas
Allanson	Thomas
Allanson	Thomas
Allanson	Thomas
Allason	William
Allchurch	Richardus
Allcock	Benjaminus
Allcock	Laurence
Allcock	Laurentius
Allden	James
Allden	James
Allden	John
Allden	John
Alldey	Henry
Alleine	Thomas
Allen	Arabella
Allen	Arabella
Allen	Benjamin Haigh
Allen	Benjamin Haigh
Allen	Catherine
Allen	Catherine
Allen	Christopherus
Allen	Edmundus
Allen	Edmundus
Allen	Edward
Allen	Edward
Allen	Edward
Allen	Elinor
Allen	Elizabeth
Allen	Francis
Allen	Francis
Allen	Francis
Allen	Giles
Allen	Gulielmus
Allen	Gulielmus
Allen	Gulielmus
Allen	Henry
Allen	Henry
Allen	Jacobus
Allen	Jacobus
Allen	Jacobus
Allen	Jane
Allen	Jeffery
Allen	Jefferys
Allen	Johannes
Allen	John
Allen	John
Allen	John
Allen	John
Allen	John
Allen	John
Allen	John
Allen	John Francis
Allen	John Francis
Allen	John Francis
Allen	John Francis
Allen	John Francis
Allen	John Taylor
Allen	JohnTaylor
Allen	Jonathan Francis
Allen	Joseph
Allen	Joseph
Allen	Maria
Allen	Maria
Allen	Mary
Allen	Mary Ann
Allen	Michael
Allen	Michael
Allen	not given
Allen	Richard
Allen	Richard
Allen	Richard
Allen	Richard
Allen	Richard
Allen	Richard
Allen	Richard
Allen	Richard
Allen	Richardi
Allen	Richardus
Allen	Samuel James
Allen	Sarah
Allen	Stephanus
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Stephen
Allen	Thomae
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas Dawson
Allen	unknown
Allen	William
Allen	William
Allen	Williams
Allen	Willimus
Allen	Willimus
Allen the younger	Stephen
Allenby	Hynman Raddish
Allenby	John
Allendale Free Grammar School, Trustees	
Aller	Gulielmus
Allerton	Jacobus
Allet	Bryan
Allet	Bryan
Allexander	Johannes
Alley	Henry Richard
Alleyn	Arabella
Alleyn	Egidii
Alleyn	Johannes
Alleyn	Johannes
Alleyn	Johannis
Alleyn	Mary
Alleyne	Richardus
Allfray	Thomas
Allgood	Major
Allgood	Major
Allgood	Robert Lancelot
Allgood	Thomae
Allgood	Thomas
Allharton	William
Allibond	Job
Allibond	Job
Allicock	Charles
Allicocke	Charles
Allies	Thomas
Allin	Ashurst
Allin	Richardi
Allin	Richardus
Allin	Richardus
Allin	Thomae
Allin	Thomae
Allin	Thomae
Allin	Thomae
Allin	Thomae
Allin	Thomam
Allin	Thomam
Allin	Thomam
Allin	Thomam
Allin	Thomam
Allin	Thomas
Allin	Thomas
Allin	William
Allington	Diana
Allington	Egidium
Allington	Egidium
Allington	Egidius
Allington	Egiduum
Allington	Elizabeth
Allington	Elizabetham
Allington	George
Allington	Guillelmum
Allington	Gulielmum
Allington	Gulielmus
