		C	P	P		7009760	1108724
		C	P	P		7009760	1108893
		C	P	P		7009760	1109344
		C	P	P		7003168	1109363
		C	P	P		7009760	1109495
		C	P	P		1003460	1109756
		C	P	P		7009760	1111810
		C	P	P		7009760	1112063
		C	P	P		1003460	1112377
		C	P	P		7003164	1114232
		C	P	P		1003460	1114802
		C	P	P		7003168	1115906
		C	P	P		7003165	1117234
		C	P	P		7009760	1121328
		C	P	P		7009760	1121388
		C	P	P		7009760	1121940
		C	P	P		1003460	1122250
		C	P	P		7009760	1122612
		C	P	P		7009760	1123066
		C	P	P		7009760	1123775
		C	P	P		7009760	1123823
		C	P	P		7009760	1124371
		C	P	P		7009760	1126117
		C	P	P		7009760	1126122
		C	P	P		1003473	1126668
		C	P	P		7009760	1127088
		C	P	P		7009760	1128089
		C	P	P		7009760	1128141
		C	P	P		7009760	1128558
		C	P	P		7009760	1129867
		C	P	P		7003163	1130008
		C	P	P		1003473	1137022
		C	P	P		1003460	4000491
		C	P	P		7003163	4000862
		C	P	P		7000457	4001112
		C	P	P		7003164	4001206
		C	P	P		7003165	4001386
		C	P	P		7003167	4001692
		C	P	P		7003167	4001976
		C	P	P		7003165	4002142
		C	P	P		7003163	4002143
		C	P	P		7003163	4002281
		C	P	P		7003163	4002300
		C	P	P		7003166	4002302
		C	P	P		7003163	4002333
		C	P	P		1003460	4002344
		C	P	P		7003163	4002353
		C	P	P		7003168	4002427
		C	P	P		7003163	4002439
		C	P	P		7003168	4002640
		C	P	P		7003162	4002660
		C	P	P		1003473	4002753
		C	P	P		7003163	4002779
		C	P	P		7003167	4002789
		C	P	P		7003167	4002793
		C	P	P		7003164	4002803
		C	P	P		7003163	4002880
		C	P	P		7003168	4003081
		C	P	P		7003163	4003317
		C	P	P		7003163	4003884
		C	P	P		7003163	4003903
		H	P	P		7009760	4003918
		C	P	P		7003163	4003976
		C	P	P		7003162	4004239
		C	P	P		1003460	4004361
		C	P	P		7003163	4004422
		C	P	P		7003163	4004519
		C	P	P		7003164	4005345
		C	P	P		7003165	4006085
		C	P	P		7003163	4006399
		C	P	P		7003163	4006636
		C	P	P		1003473	4006667
		C	P	P		7003163	4006836
		C	P	P		7003165	4006949
		C	P	P		7003165	4006994
		C	P	P		7003162	4007147
		C	P	P		7003168	4007376
		C	P	P		7003165	4007395
		C	P	P		7003162	4007415
		C	P	P		7003163	4007418
		C	P	P		7003165	4007428
		C	P	P		1003460	4007430
		C	P	P		7024741	4007432
		C	P	P		7003163	4007436
		C	P	P		7003163	4007536
		C	P	P		7003164	4007544
		C	P	P		7003163	4007713
		C	P	P		7003168	4008606
		C	P	P		7003163	4008629
		C	P	P		7003163	4008630
		C	P	P		7003167	4008633
		C	P	P		7003163	4008700
		C	P	P		7000457	4008796
		C	P	P		7003167	4008821
		C	P	P		7003163	4008823
		C	P	P		7003162	4008833
		C	P	P		7003168	4009026
		C	P	P		7003163	4009191
		C	P	P		7003168	4009196
		C	P	P		7000457	4009272
		C	P	P		7003165	4009376
		C	P	P		7003163	4009496
		C	P	P		7003163	4009900
		C	P	P		7003168	4009905
		C	P	P		7003165	4009908
		C	P	P		7003168	4009921
		C	P	P		7003163	4009934
		C	P	P		7003163	4009964
		C	P	P		7003163	4009967
		C	P	P		7003166	4009970
		C	P	P		7003168	4009978
		C	P	P		7003163	4009984
		C	P	P		7003163	4010042
