1000000		7000457	M	7003163	A	The original settlement was a Roman military center at the head of navigation on the Arno river and on the Casian Way. It escaped capture by the Goths in the 5th century, and by the 12th century was a thriving center. It was torn apart in Medieval times by the violent Guelph/Ghibelline rivalry: a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and its allies (Montepulciano, Bologna, and Orvieto) and its Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo).  Florence came under the rule of the  Medici family from 1434. 	1		7000457
1000000		7000478	M	7003162	A	Oratory was founded on the site in 10th cen.; was an important medieval & Renaissance center; noted as birthplace of painters Piero della Francesca (died 1492) & Matteo di Giovanni & as home of the Alberti family of architects & sculptors.	1		7000478
1000000		7000479	M	7003162	A		1		7000479
1000000		7003162	M	7009760	A		1		7003162
1000000		7003163	M	7009760	A		1		7003163
1000000		7003164	M	7009760	A		1		7003164
1000000		7003165	M	7009760	A		1		7003165
1000000		7003166	M	7009760	A		1		7003166
1000000		7003167	M	7009760	A		1		7003167
1000000		7003168	M	7009760	A		1		7003168
1000000		7004014	M	7003168	A		1		7004014
1000000		7004039	M	7003167	A		1		7004039
1000000		7004249	M	1003473	A	Was first fortified as feudal holding of Obertenghi family; was long an object of dispute between Pisa & Lucca, then between Visconti & Florentines; went to marchese Malaspina in 15th cen.; was capital of independent principality & duchy until 1859.	1		7004249
1000000		7004847	M	7003127	A	Etruscan town was taken by Gallic Boii 4th century BCE; was Roman colony ca. 196 BCE; part of Greek exarchate of Ravenna 6th century CE, then went to pope; damaged in Goth and Hun invasions. There was internal Guelph-Ghibelline strife and a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and allies (Montepulciano, Bologna, and Orvieto) and their Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo). Bologna thrived under Papal States from 1506.	1		7004847
1000000		7004898	M	7003163	A		1		7004898
1000000		7004955	M	7003163	A		1		7004955
1000000		7005060	M	7003167	A	Located on Ombrone river; noted as site of death of Roman demagogue Catiline in battle of 63 BCE; important early Christian center; flourished as prosperous, free commune from the 11th century; became important banking center; held by Florence from the 14th century. A series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and allies (Montepulciano, Bologna, and Orvieto) and their Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo).	1		7005060
1000000		7005124	M	7003171	A	Located on Poglia river; was one of 12 ancient cities of Etruria; sacked and taken by Rome in 264 BCE; later ruled by Goths, Byzantines and Lombards; was an independent commune in 12th century; torn by civil strife and external wars. A series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and allies (Montepulciano, Bologna, and Orvieto) and their Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo). Orvieto was taken by the papacy in 1448.	1		7005124
1000000		7006022	M	1003460	A		1		7006022
1000000		7006072	M	7003162	A	Was one of 12 ancient cities of Etruria and was allied with Rome from the 3rd century BCE. A thriving medieval center, Arezzo was taken by Florence in 1384. A series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and allies (Montepulciano, Bologna, and Orvieto) and their Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo). Arezzo was later a part of grand duchy of Tuscany; it was ruled by the French after Napoleonic Wars, and then by the Hapsburgs. The city was damaged during WW II. 	1		7006072
1000000		7006073	M	1003460	A	Located on low-lying Maremma coastal plain near Ombrone river; site was once in a shallow gulf, now the marshy desert Maremma; was plagued by malaria until the marsh was drained; noted for 13th-cen. Gothic cathedral, fortified citadel & Etruscan museum.	1		7006073
1000000		7006074	M	7003164	A	Located on Ligurian Sea, surrounded by low hills; was given by countess Matilda of Tuscany to Pisan church in 1103; flourished as commercial center; went to Visconti family in 1399, to Genoa & then to Florence in 15th cen.; was damaged in WW II.	1		7006074
1000000		7006075	M	7003165	A		1		7006075
