S		9005498	4006085
S		9006009	4006085
S		9005498	4006399
S		9005498	4006636
S		9006012	4006636
S		9005498	4006667
S		9005498	4006836
S		9005664	4006836
S		9005498	4006949
S		9006009	4006949
S		9005498	4006994
S	51	9002467	4007147
S	455, n. 3	9002468	4007147
S	Procacci, U, (1947), 123 n. 3 & 121 n. 5	9002469	4007147
S	Hodges, R, CLXXXII/3(January 1988),78-79	9005732	4007376
S	III, 323	9006455	4007376
S		9005498	4007395
S	199	9005503	4007415
S		9006444	4007415
S	348	9006009	4007418
S		9005498	4007428
S		9005498	4007430
S		9006009	4007430
S		9005498	4007432
S		9005498	4007436
S	100	9006009	4007436
S		9005498	4007536
S		9006444	4007536
S	III, 612	9006455	4007536
S	205	9005503	4007544
S		9006444	4007544
S		9005498	4007713
S		9005498	4008606
S		9005498	4008629
S	396	9005664	4008629
S		9005498	4008630
S		9005498	4008633
S		9005498	4008700
S		9006234	4008700
S		9005498	4008796
S		9005498	4008821
S		9005498	4008823
S	459	9006009	4008823
S		9006444	4008823
S		9005498	4008833
S	Salvatore, II, 685-701	9002993	4009026
S		9005498	4009026
S		9006009	4009026
S		2009007203	4009026
S	380	9006012	4009191
S		9005498	4009196
S		9005498	4009272
S		9005498	4009376
S		9005498	4009496
S	423	9005664	4009496
S		9005498	4009900
S		9005498	4009905
S		9006444	4009905
S	I, 226-227	9006455	4009905
S		9005498	4009908
S		9005498	4009921
S		9006234	4009934
S	4	9006408	4009934
S		9005498	4009964
S	426	9005664	4009964
S		2009007203	4009964
S		9005498	4009967
S		9006009	4009967
S		9006279	4009967
S		9006303	4009967
S		9005498	4009970
S		9006303	4009970
S		9005498	4009978
S	V, 172	9006455	4009978
S		9005498	4009984
S		9005498	4010042
S		9005498	4010045
S	Paolucci, A, XXVII/305 (July 1975),49-51	9003253	4010067
S		9005498	4010288
S		9006279	4010288
S		9005498	4010336
S		9005498	4010338
S		9005498	4010360
S		9005498	4010671
S		9005498	4011334
S		9005498	4011352
S	324	9006009	4011352
S		9005498	4011602
S	V, 626	9006455	4011602
S		9006009	4011603
S		9006455	4011603
S		9005498	4011735
S		9005498	4011776
S		9005498	4011913
S		9006444	4011913
S		9006303	5002255
S	449	9006009	5002811
S	671	9006009	5002812
S		9005503	5002824
S	II, 29	9006455	5002824
S		9004591	5002825
S		9006723	5002825
S	370	9006009	5002835
S	414	9006009	5002844
S	412	9006009	5002845
S	403	9006009	5002848
S		9006303	5002851
S		9006303	5002856
S	212	9006009	5002857
S	396	9005664	5002859
S		9006592	5002859
S	421	9005664	5002866
S	59	9004594	5002871
S	441	9005664	5002871
S		9006365	5002871
S	I, 736	9006455	5002871
S		9006303	5002872
S	445	9005664	5002873
S	336	9006009	5002876
S	416	9005664	5002884
S	427	9005664	5002885
S	371	9006009	5002887
S	451	9006009	5002890
S		9005664	5002891
S	436	9005664	5002892
S	421	9005664	5002893
S	436	9005664	5002894
S	336	9006009	5002895
S		9006073	5002895
S	368	9006009	5002898
S	448	9006009	5002899
S	450	9006009	5002901
S		9006736	5002901
S	441	9005664	5002902
S		9006561	5002902
S	59	9004594	5002903
S	III, 627	9006455	5002903
S	373	9005664	5002904
S	829	9006009	5002905
S	I, 653	9006455	5002905
S	423	9005664	5002906
S	11751	9006736	5002906
S	320	9006009	5002909
S	342	9006009	5002912
S	412	9005664	5002914
S	206	9006345	5002914
S	97; 97	9006009	5002915
S	416	9005664	5002918
S	338	9006009	5002919
S	419	9005664	5002920
S	436	9005664	5002921
S	415	9005664	5002922
S	331	9006009	5002923
S		9006073	5002923
S	336	9006009	5002924
S	398	9005664	5002926
S	424	9005664	5002927
S		9006073	5002927
S		9006303	5002927
S	375	9005664	5002928
S	435	9005664	5002929
S	423	9005664	5002930
S	448	9006009	5002931
S		9006736	5002931
S	376	9005664	5002934
